direccion,horario,latitud,localidad,longitud,municipio,precio_gasoleo_a,precio_gasoleo_b,precio_gasoleo_premium,precio_gasolina_95_e10,precio_gasolina_95_e5,precio_gasolina_95_e5_premium,precio_gasolina_98_e5,provincia,rotulo
CARRETERA PALMA-ALCUDIA CRUCE CTRA.SENCELLES KM. S/N,L-D: 24H,39.711111,INCA,2.909222,Inca,1.809,,1.879,,1.879,,2.029,BALEARS (ILLES),BP
"CARRETERA PM-V-211-1 KM. 1,5",L-D: 06:00-22:00,39.707667,LLOSETA,2.865222,Lloseta,1.839,,1.905,,1.879,1.939,,BALEARS (ILLES),CEPSA
"CARRER SABATERS, SN",L-D: 24H,39.7035,LLOSETA,2.870417,Lloseta,1.795,,1.865,,1.839,,1.989,BALEARS (ILLES),SHELL
"CARRER LA CARRETERA, 69",L-S: 07:00-13:00 y 16:00-20:00,39.698694,LLUBI,3.005889,Llubí,1.839,,,,1.859,,,BALEARS (ILLES),CEPSA
"CALLE SAN CRISTOBAL, S/N",L-S: 06:00-22:00,39.501,LLUCMAJOR,2.75975,Llucmajor,1.821,,1.895,,1.881,1.949,,BALEARS (ILLES),CEPSA
"CARRETERA PM-602 KM. 8,2",L-D: 06:00-22:00,39.493778,LLUCMAJOR,2.789389,Llucmajor,1.809,,1.909,,1.829,1.879,1.989,BALEARS (ILLES),REPSOL
"AVENIDA CARLOS V, S/N",L-D: 06:00-22:00,39.485861,LLUCMAJOR,2.895222,Llucmajor,1.821,,1.895,,1.881,1.949,2.015,BALEARS (ILLES),CEPSA
CARRETERA PALMA-PORTOPETRO KM. 23,L-S: 06:00-22:00; D: 06:00-14:00,39.494556,LLUCMAJOR,2.881472,Llucmajor,1.821,,1.895,,1.881,1.949,,BALEARS (ILLES),CEPSA
CARRETERA PM-602 KM. 5,L-D: 06:00-22:00,39.483944,ARENAL (S'),2.831722,Llucmajor,1.819,,1.919,,1.829,,1.989,BALEARS (ILLES),REPSOL
"CARRETERA MA-6014 KM. 3,6",L-D: 06:00-22:00,39.477861,PALMERES (LES),2.745694,Llucmajor,1.821,,1.895,,1.881,,,BALEARS (ILLES),BP SON GRANADA
"AVENIDA JOSE ANSELMO CLAVE, S/N",L-D: 24H,39.881972,MAO,4.259389,Mahón,1.839,,,,1.889,,,BALEARS (ILLES),CEPSA
"CR ME-1 , 1,50",L-D: 00:00-02:00 y 06:00-23:59,39.889583,MAO,4.242861,Mahón,1.809,,,,1.855,,,BALEARS (ILLES),REPSOL
"ROTONDA PLAZA ABU UMAR, 1",L-D: 06:30-22:30,39.884278,MAO,4.271639,Mahón,1.829,,,,1.879,,,BALEARS (ILLES),CEPSA
CARRETERA AEROPUERTO KM. 5,L-D: 07:00-22:00,39.863861,MAO,4.227833,Mahón,1.919,1.819,,,1.999,,,BALEARS (ILLES),CEPSA
"CALLE BAJOLI ( POLIGONO INDUSTRIAL ARTRUIX ), 39",L-D: 24H,39.883917,MAO,4.240472,Mahón,1.739,,,,1.769,,,BALEARS (ILLES),GMOIL
"AVENIDA CAP DE CAVALLERIA, 14",L-D: 24H,39.888806,MAO,4.249,Mahón,1.799,,,,1.859,,,BALEARS (ILLES),GALP
"CARRER ARTRUXT, 7",L-D: 24H,39.884917,MAO,4.246694,Mahón,1.769,,1.799,,1.809,,,BALEARS (ILLES),AUTONETOIL
"CARRETERA PM-402 KM. 5,6",L-D: 24H,39.561028,MANACOR,3.262972,Manacor,1.679,,1.699,,1.759,,,BALEARS (ILLES),PETROEST
"CALLE JUAN MIRO, S/N",L-D: 24H,39.561306,MANACOR,3.207,Manacor,1.779,1.449,1.849,,1.829,,1.979,BALEARS (ILLES),REPSOL
"CARRETERA MA-15 KM. 44,5",L-V: 07:00-19:00; S: 07:00-18:00,39.573556,MANACOR,3.159556,Manacor,,,,,,,,BALEARS (ILLES),REPSOL BUTANO
"CALLE VIA MAJORICA, SN",L-D: 06:00-22:00,39.572111,MANACOR,3.194417,Manacor,1.789,,1.889,,1.809,,1.969,BALEARS (ILLES),REPSOL
"CR PM-402, 1,6",L-V: 06:00-22:00; S-D: 07:00-22:00,39.566944,MANACOR,3.220667,Manacor,1.779,,1.879,,1.809,,1.969,BALEARS (ILLES),REPSOL
"CR C-715, 48",L-V: 06:00-22:00; S-D: 07:00-22:00,39.574167,MANACOR,3.200528,Manacor,1.789,,1.889,,1.809,,1.969,BALEARS (ILLES),REPSOL
"VÍA VIA PALMA, 87 (ROTONDA HOSPITAL), 87",L-D: 24H,39.577833,MANACOR,3.210528,Manacor,1.779,1.449,1.849,,1.829,,1.979,BALEARS (ILLES),REPSOL
"RONDA OEST, 25",L-D: 24H,39.546806,PORTO CRISTO,3.333417,Manacor,1.639,,,,1.689,,,BALEARS (ILLES),JUST FUEL
"RONDA RONDA DEL OESTE, 123",L-D: 06:00-22:00,39.547667,PORTO CRISTO,3.339444,Manacor,1.779,1.449,1.849,,1.829,,1.979,BALEARS (ILLES),REPSOL
CARRETERA PM 402 KM. 9,L-D: 06:00-22:00,39.561,PORTO CRISTO,3.263111,Manacor,1.789,,1.879,,1.859,,2.029,BALEARS (ILLES),BP
"CARRER CAMÍ DE MUNTANYA ESQ CARRER CELLETERS, S/N",L-D: 06:00-00:00,39.618611,CABANETA (SA),2.715056,Marratxí,1.749,,,,1.869,,,BALEARS (ILLES),SHELL
CARRETERA CR C-713  PALMA-PUERTO ALCUDIA KM. 13,L-D: 06:00-22:00,39.647944,MARRATXINET,2.756889,Marratxí,1.799,1.409,1.869,,1.869,,2.019,BALEARS (ILLES),REPSOL
"POLIGONO OLLERS, S/N",L-D: 24H,39.627528,MARRATXINET,2.725056,Marratxí,1.799,,1.889,,1.869,,2.029,BALEARS (ILLES),BP
"CARRETERA PALMA-PTO ALCUDIA KM. 8,9",L-D: 24H,39.615806,MARRATXINET,2.718,Marratxí,1.809,,1.879,,1.879,,2.029,BALEARS (ILLES),REPSOL
"CARRETERA MAHÓN - FORNELLS KM. 12,6",L-D: 24H,39.977556,MERCADAL (ES),4.195611,Mercadal (Es),1.849,,,,1.909,,,BALEARS (ILLES),GALP
"CALLE B, 35",L-D: 24H,39.987722,MERCADAL (ES),4.081806,Mercadal (Es),1.789,,,,1.859,,,BALEARS (ILLES),CARBURANTS LOW COST
CARRETERA CTRA DE MAO A CIUTADELLA ME-1 KM. 23,L-S: 07:00-21:00; D: 08:00-21:00,39.984639,MERCADAL (ES),4.071667,Mercadal (Es),1.819,1.609,1.919,,1.879,,,BALEARS (ILLES),BP
"CARRETERA MA-15 KM. 29,320",L-S: 06:00-22:00; D: 08:00-21:00,39.560806,MONTUIRI,2.988139,Montuïri,1.799,1.459,1.869,,1.839,,1.979,BALEARS (ILLES),BP
"AVENIDA SANTA MARGARITA, 49",L-S: 06:30-22:00,39.729306,MURO,3.059583,Muro,1.799,1.479,,,1.858,,1.999,BALEARS (ILLES),REPSOL
"CARRETERA MA-3431 KM. 0,200",L-S: 06:30-21:30; D: 08:00-14:00,39.7415,MURO,3.052639,Muro,1.799,,1.882,,1.858,,1.999,BALEARS (ILLES),REPSOL
"CALLE CRUCERO, 12",L-D: 06:00-20:00,39.81425,PLATJA DE MURO,3.109972,Muro,1.849,,1.929,,1.849,,1.989,BALEARS (ILLES),LAS GAVIOTAS
"CALLE EUSEBIO ESTADA, 64",L-S: 06:00-22:00; D: 06:00-14:00,39.582056,PALMA,2.660667,Palma de Mallorca,1.779,,1.849,,1.829,,1.999,BALEARS (ILLES),REPSOL
"CALLE ALFONS EL MAGNANIM, 90",L-D: 24H,39.594167,PALMA,2.654472,Palma de Mallorca,1.798,,1.878,,1.868,,2.018,BALEARS (ILLES),BP AMANECER
"CALLE CAPITAN SALOM, 31",L-D: 24H,39.586417,PALMA,2.652889,Palma de Mallorca,1.809,,1.879,,1.879,,2.029,BALEARS (ILLES),REPSOL
"CALLE JAUME BALMES, 44",L-D: 06:30-22:30,39.580194,PALMA,2.659194,Palma de Mallorca,1.774,,1.844,,1.824,,1.978,BALEARS (ILLES),BP BALMES
"CALLE POIMA, 12",L-D: 24H,39.595056,PALMA,2.632778,Palma de Mallorca,1.649,,1.679,,1.759,,,BALEARS (ILLES),AUTONETOIL
"CAMINO REIS, S/N",L-S: 06:00-23:59; D: 06:00-22:00,39.595861,PALMA,2.637917,Palma de Mallorca,1.799,,1.879,,1.839,,1.999,BALEARS (ILLES),REPSOL
"CALLE CAMI DE JESUS, 10",L-D: 24H,39.591278,PALMA,2.634139,Palma de Mallorca,1.794,,1.874,,1.849,,1.989,BALEARS (ILLES),SHELL
"CAMINO VILETA (LA), S/N",L-S: 06:00-23:59; D: 06:00-22:00,39.583,PALMA,2.63075,Palma de Mallorca,1.789,,1.869,,1.849,,2.009,BALEARS (ILLES),REPSOL
"AVENIDA JOAN MIRO, 22",L-D: 06:00-22:00,39.565778,PALMA,2.626444,Palma de Mallorca,1.795,,1.869,,1.839,1.939,,BALEARS (ILLES),CEPSA
"CALLE ANDREA DORIA, ESQUINA SON ARMADANS, S/N",L-D: 24H,39.571278,PALMA,2.625472,Palma de Mallorca,1.799,,1.889,,1.869,,2.029,BALEARS (ILLES),BP
"AVENIDA JOAN MIRO, 238",L-D: 24H,39.552444,PALMA,2.613889,Palma de Mallorca,1.809,,1.879,,1.879,,2.029,BALEARS (ILLES),BP
"AVENIDA JOAN MIRO, S/N",L-D: 06:00-22:00,39.552028,PALMA,2.616056,Palma de Mallorca,1.809,,1.879,,1.879,,2.029,BALEARS (ILLES),BP
"CAMI CAMI DE SON RAPINYA ESQ.CAMI DEL REIS, S/N",L-D: 24H,39.584944,PALMA,2.618722,Palma de Mallorca,1.779,,1.849,,1.829,,1.979,BALEARS (ILLES),REPSOL
"PLAZA PROGRESO, S/N",L-D: 24H,39.571861,PALMA,2.636,Palma de Mallorca,1.779,,1.849,,1.829,,1.979,BALEARS (ILLES),REPSOL
"CALLE PASCUAL RIBOT, S/N",L-D: 06:00-22:00,39.579306,PALMA,2.636444,Palma de Mallorca,1.809,,1.899,,1.869,,2.011,BALEARS (ILLES),BP ES FORTI
"CALLE CORONEL BEORLEGUI, 49",L-D: 06:00-22:00,39.605028,PALMA,2.634639,Palma de Mallorca,1.779,,1.849,,1.829,,1.979,BALEARS (ILLES),REPSOL
"CALLE CAMI SALARD, S/N",L-D: 06:00-22:00,39.576167,PALMA,2.685139,Palma de Mallorca,1.779,,1.849,,1.829,,1.979,BALEARS (ILLES),REPSOL
"CALLE CAMINO DE LOS REYES, 201",L-D: 24H,39.593,PALMA,2.633472,Palma de Mallorca,1.795,,1.905,,1.849,1.959,1.981,BALEARS (ILLES),CEPSA
CARRETERA C-711 PALMA-SOLLER KM. 7,L-S: 07:00-22:00; D: 08:00-22:00,39.629778,PALMA,2.663583,Palma de Mallorca,1.779,,1.859,,1.819,,1.979,BALEARS (ILLES),REPSOL
"AVENIDA AMERICA, ARENAL, 18",L-D: 24H,39.511639,PALMA,2.753389,Palma de Mallorca,1.809,,1.879,,1.879,,2.029,BALEARS (ILLES),BP
"AVENIDA GABRIEL ALOMAR Y VILLALONGA, S/N",L-D: 24H,39.566528,PALMA,2.656778,Palma de Mallorca,1.775,,1.845,,1.825,1.885,1.975,BALEARS (ILLES),REPSOL
"CALLE MANUEL AZAÑA, 5",L-D: 24H,39.565194,PALMA,2.6635,Palma de Mallorca,1.779,,1.849,,1.839,,1.969,BALEARS (ILLES),GALP
"CARRER HORT DE LES ANIMES, 30",L-D: 24H,39.566556,PALMA,2.685333,Palma de Mallorca,1.649,,1.759,,1.769,,1.889,BALEARS (ILLES),V2 GASOLINERAS
"CALLE LLUCMAJOR, 148",L-V: 06:00-22:00; S-D: 07:00-22:00,39.557861,PALMA,2.682333,Palma de Mallorca,1.779,,1.859,,1.839,,1.999,BALEARS (ILLES),REPSOL
"CALLE LLUCMAJOR, 109",L-D: 24H,39.559083,PALMA,2.678639,Palma de Mallorca,1.789,,1.879,,1.849,,1.991,BALEARS (ILLES),BP LLUCMAJOR
"ZONA COLL DEN RABASSA 31, POLIGONO 48 PARCELA 23, 31",L-D: 24H,39.552417,PALMA,2.709083,Palma de Mallorca,1.639,,,,1.739,,,BALEARS (ILLES),SET&GO
"CALLE GEORGE SAND, 4",L-D: 24H,39.574417,PALMA,2.679611,Palma de Mallorca,1.759,,,,1.818,,,BALEARS (ILLES),GALP
"CL CAMINO CA,N PASTILLA, 37 (CAMNIO CAN PASTILLA 37)",L-D: 06:00-22:00,39.54775,PALMA,2.703083,Palma de Mallorca,1.789,,1.869,,1.849,,2.009,BALEARS (ILLES),REPSOL
"AVENIDA CARDENAL ROSELL,, S/N",L-S: 08:00-22:00; D: 09:00-21:00,39.552167,PALMA,2.704222,Palma de Mallorca,1.789,,1.829,,1.849,,1.999,BALEARS (ILLES),CARREFOUR
"CALLE HORT DE SES ÀNIMES, 23",L-D: 24H,39.567083,PALMA,2.685778,Palma de Mallorca,1.698,,1.878,,1.798,,1.958,BALEARS (ILLES),SHELL
"CARRETERA C-715 KM. 2,7",L-D: 06:00-22:00,39.570083,PALMA,2.688333,Palma de Mallorca,1.789,,1.869,,1.839,1.889,1.999,BALEARS (ILLES),REPSOL
"CARRER DE SON PENDOLA, 1",L-D: 24H,39.566222,PALMA,2.68,Palma de Mallorca,1.639,,1.669,,1.759,,,BALEARS (ILLES),AUTONETOIL
"CALLE ARAGON, 217",L-D: 24H,39.589167,PALMA,2.676472,Palma de Mallorca,1.775,,1.845,,1.825,,1.975,BALEARS (ILLES),REPSOL
"CALLE ARAGON, 180",L-D: 24H,39.584278,PALMA,2.671556,Palma de Mallorca,1.779,,1.828,,1.829,,1.958,BALEARS (ILLES),REPSOL
"CALLE GABRIEL ALZAMORA, 25",L-D: 24H,39.589306,PALMA,2.674778,Palma de Mallorca,1.669,,,,1.779,,,BALEARS (ILLES),PETROEST
"CALLE BINIAMAR, 16",L-D: 06:00-22:00,39.581722,PALMA,2.678806,Palma de Mallorca,1.829,,1.895,,1.869,1.929,2.001,BALEARS (ILLES),CEPSA
"CALLE SANT IGNASI, 68",L-V: 07:00-20:00; S: 07:00-14:00,39.574389,PALMA,2.675944,Palma de Mallorca,1.779,,1.859,,1.829,,1.989,BALEARS (ILLES),REPSOL
"CALLE CAMI VELL DE NUBYOLA, S/N",L-D: 06:00-22:00,39.602361,PALMA,2.674917,Palma de Mallorca,1.779,,1.849,,1.829,,1.979,BALEARS (ILLES),REPSOL
"CALLE MUSICO ISAAC ALBENIZ, S/N",L-D: 05:30-21:30,39.586306,PALMA,2.662056,Palma de Mallorca,1.797,,1.877,,1.867,,2.017,BALEARS (ILLES),BP
"CALLE GREMI DE SUCRERS I CANDELERS, 24",L-V: 06:30-17:00,39.610917,PALMA,2.663944,Palma de Mallorca,1.779,,1.849,,1.829,,1.979,BALEARS (ILLES),PETRONOR
"GRAN VÍA ASIMA, 23",L-D: 24H,39.607194,PALMA,2.667889,Palma de Mallorca,1.779,,,,1.829,,,BALEARS (ILLES),GALP
"CALLE GREMI CIRUGIANS I BARBERS, 11",L-D: 24H,39.600639,PALMA,2.65825,Palma de Mallorca,1.669,,,,1.779,,,BALEARS (ILLES),PETROEST
"CALLE GREMI SELLETERS I BASTERS, 12",L-D: 24H,39.605528,PALMA,2.658472,Palma de Mallorca,1.639,,,,1.739,,,BALEARS (ILLES),SET&GO
"CALLE CALA BLANCA,, 9",L-V: 06:00-22:00; S-D: 07:00-22:00,39.597222,PALMA,2.676389,Palma de Mallorca,1.769,,1.849,,1.829,,1.989,BALEARS (ILLES),REPSOL
"CALLE GREMI SUCRERS Y CANDELERS, 5",L-S: 06:00-22:00; D: 06:00-14:00,39.606667,PALMA,2.656056,Palma de Mallorca,1.779,,1.849,,1.829,1.889,1.979,BALEARS (ILLES),REPSOL
"CALLE GUADIANA, 45",L-S: 06:30-22:00,39.591583,PALMA,2.673639,Palma de Mallorca,1.719,,1.799,,1.839,,1.979,BALEARS (ILLES),SHELL
CARRETERA VIEJA DE BUÑOLA KM. 15,L-D: 06:00-22:00,39.593333,PALMA,2.668944,Palma de Mallorca,1.795,,1.905,,1.839,1.935,,BALEARS (ILLES),CEPSA
"CALLE TRAMUNTANA, S/N",L-D: 24H,39.536722,CAN PASTILLA,2.719972,Palma de Mallorca,1.809,,1.879,,1.879,,2.029,BALEARS (ILLES),BP
"CALLE MANUELA DE LOS HERREROS, 15",L-D: 06:00-01:00,39.532722,CAN PASTILLA,2.72725,Palma de Mallorca,1.809,,1.899,,1.879,,2.011,BALEARS (ILLES),BP PLAYA DE PALMA
"CARRER MARBELLA, 29",L-D: 24H,39.527111,PLATJA DE PALMA,2.734833,Palma de Mallorca,1.659,,1.759,,1.769,,1.889,BALEARS (ILLES),V2 GASOLINERAS
"CAMINO SON FANGOS, 151",L-D: 24H,39.535472,PLATJA DE PALMA,2.735,Palma de Mallorca,1.799,,1.869,,1.859,,1.979,BALEARS (ILLES),REPSOL
"CAMINO DE LAS MARAVILLA, S/N",L-D: 07:00-21:00,39.521167,PLATJA DE PALMA,2.749361,Palma de Mallorca,1.821,,1.895,,1.881,1.949,,BALEARS (ILLES),CEPSA
"CAMI LA MILANA, 49",L-D: 07:00-21:00,39.565639,SON SANT JOAN,2.720917,Palma de Mallorca,,,,,,,,BALEARS (ILLES),REPSOL BUTANO
"CALLE MANACOR, 336",L: 06:00-22:00,39.571194,SON SANT JOAN,2.721056,Palma de Mallorca,1.799,1.449,1.869,,1.839,,1.999,BALEARS (ILLES),REPSOL
"CARRETERA LLUCMAJOR, KM10 KM. 10",L-S: 06:00-22:00; D: 08:00-14:00,39.534972,SON SANT JOAN,2.750694,Palma de Mallorca,1.819,1.479,1.889,1.969,1.879,,,BALEARS (ILLES),CEPSA
CTA. MANACOR C-715 km 6.7,L-D: 24H,39.570556,CASA BLANCA (SA),2.735833,Palma de Mallorca,1.785,,1.849,,1.829,,1.979,BALEARS (ILLES),SHELL
"CALLE MANACOR, 309",L-D: 24H,39.572528,CASA BLANCA (SA),2.714194,Palma de Mallorca,1.779,,1.849,,1.829,,1.979,BALEARS (ILLES),REPSOL
"CARRETERA 10, CAMINO DE CAN CAPO, SŽARANJASSA KM. 717",L-D: 24H,39.535306,ARANJASSA (S'),2.736056,Palma de Mallorca,1.799,,1.889,,1.869,,2.029,BALEARS (ILLES),BP
"AE VIAL SALIDA AEROPUERTO, S.N.",L-D: 24H,39.545917,PALMA,2.722944,Palma de Mallorca,1.799,1.544,1.859,,1.859,,1.999,BALEARS (ILLES),REPSOL
"CARRETERA PM-334 KM. 1,1",L-S: 06:30-21:00; D: 07:00-21:00,39.625889,PETRA,3.109028,Petra,1.799,1.519,1.889,,1.829,,1.979,BALEARS (ILLES),REPSOL
CARRETERA MURO KM. 0,L-S: 06:00-21:00,39.765472,POBLA (SA),3.029667,Pobla (Sa),1.809,1.499,1.899,,1.869,,2.019,BALEARS (ILLES),BP
"CALLE TRAJINERS, SN",L-S: 06:00-21:00,39.771472,POBLA (SA),3.016944,Pobla (Sa),1.809,1.469,1.897,,1.869,1.929,,BALEARS (ILLES),CEPSA
"CALLE JOAN PIZA I MASSANET, 5",L-D: 24H,39.775028,POBLA (SA),3.023944,Pobla (Sa),1.693,,,,1.739,,,BALEARS (ILLES),EROSKI
"CARRETERA MA-2200 KM. 54,40",L-D: 24H,39.888583,POLLENÇA,3.031028,Pollença,1.68,1.38,,,,,,BALEARS (ILLES),COOPERATIVA PAGESA DE POLLENÇA
"CL CECILIO METELO-ESQ.PUIG MARI, S.",L-D: 06:00-22:00,39.873722,POLLENÇA,3.016083,Pollença,1.769,,1.869,,1.809,,1.969,BALEARS (ILLES),REPSOL
"CALLE FUSTER, 35",L-D: 06:00-22:00,39.885639,POLLENÇA,3.030611,Pollença,,,1.739,,1.784,,,BALEARS (ILLES),GALP
"CALLE FUSTER DEL, 47",L-D: 24H,39.886222,POLLENÇA,3.029611,Pollença,1.639,,,,1.689,,,BALEARS (ILLES),JUST FUEL
"CALLE JUAN XXIII, 133",L-D: 05:00-23:00,39.904694,POLLENÇA,3.077333,Pollença,1.769,,1.859,,1.809,,1.951,BALEARS (ILLES),BP PUERTO POLLENSA
"CARRERA PM-503 KM. 5,5,",L-V: 06:00-22:00; S: 06:00-21:00; D: 07:00-22:00,39.520056,PORRERES,3.019583,Porreres,1.829,1.469,1.919,,1.879,,2.021,BALEARS (ILLES),BP
"AVENIDA FRANCESC DE BORJA MOLL, 61",L-S: 08:00-20:00,39.341333,SALINES (SES),3.046389,Salines (Ses),1.839,,1.909,,1.879,1.939,,BALEARS (ILLES),CEPSA
"CALLE GABRIEL ROCA, 129",L-D: 06:00-22:00,39.320111,COLONIA DE SANT JORDI,3.000056,Salines (Ses),1.809,,1.899,,1.859,,2.009,BALEARS (ILLES),REPSOL
CARRETERA C-731 KM. 13,L-D: 24H,38.975056,SANT ANTONI DE PORTMANY,1.331,Sant Antoni de Portmany,1.795,,1.915,,1.859,1.949,,BALEARS (ILLES),CEPSA
"AVENIDA SES PAISSES, 4",L: 09:00-21:30,38.975861,SANT ANTONI DE PORTMANY,1.322444,Sant Antoni de Portmany,1.719,,,,1.769,,,BALEARS (ILLES),EROSKI
"AVENIDA DOCTOR FLEMING, S/N",L-D: 07:00-23:00,38.972528,SANT ANTONI DE PORTMANY,1.309222,Sant Antoni de Portmany,1.819,,1.899,,1.849,1.929,,BALEARS (ILLES),CEPSA
"CALLE CERVANTES ESQUINA VELAZQUEZ, 44",L-D: 06:00-22:00,38.9835,SANT ANTONI DE PORTMANY,1.297806,Sant Antoni de Portmany,1.795,,,,1.859,1.949,,BALEARS (ILLES),CEPSA
"CALLE DES LLAURADORS, 19",L-D: 07:00-23:00,38.94275,SANT RAFEL,1.41275,Sant Antoni de Portmany,1.829,,1.919,,1.889,,2.029,BALEARS (ILLES),BP
"CARRETERA C-731 KM. 7,15",L: 24H,38.961306,SANT RAFEL,1.397306,Sant Antoni de Portmany,1.819,1.309,1.919,,1.879,,2.029,BALEARS (ILLES),REPSOL
"CARRETERA MA-15 KM. 36,6",L-D: 06:00-22:00,39.569833,SANT JOAN,3.067806,Sant Joan,1.779,1.449,1.849,,1.829,,1.979,BALEARS (ILLES),REPSOL
"CARRETERA C-733 KM. 19,700",L-D: 24H,39.070278,SANT JOAN DE LABRITJA,1.496222,Sant Joan de Labritja,1.819,1.319,,,1.869,,1.989,BALEARS (ILLES),REPSOL
"CARRETERA AEROPUERTO KM. 4,5",L-D: 07:00-23:00,38.886028,SANT JOSEP DE SA TALAIA,1.392139,Sant Josep de sa Talaia,1.829,,1.919,,1.889,,2.031,BALEARS (ILLES),BP SANT JORDI
"CARRETERA PM-803 KM. 14,3",L-D: 07:00-23:00,38.92175,SANT JOSEP DE SA TALAIA,1.305611,Sant Josep de sa Talaia,1.795,,1.915,,1.859,1.949,,BALEARS (ILLES),CEPSA
"CARRETERA CARRET.PORTO CRISTO-SON SERVERA,KM.5,200 KM. 5,200",L-D: 07:00-21:00,39.5805,SANT LLORENÇ DES CARDASSAR,3.361611,Sant Llorenç des Cardassar,1.769,,1.869,,1.809,,1.969,BALEARS (ILLES),REPSOL
"CARRETERA MA15 KM. 54,800",L: 06:30-22:00,39.600722,SANT LLORENÇ DES CARDASSAR,3.270694,Sant Llorenç des Cardassar,1.788,,1.878,,1.828,,1.978,BALEARS (ILLES),REPSOL
"CALLE ES CARRERO, 0",L-D: 24H,39.59625,SON MORO,3.382056,Sant Llorenç des Cardassar,1.795,,1.915,,1.839,1.899,,BALEARS (ILLES),CEPSA
"AVENIDA DE SA PAU, 6",L-D: 24H,39.852722,SANT LLUIS,4.259056,Sant Lluís,1.809,,1.909,,1.879,,,BALEARS (ILLES),BP SAN LUIS
"AVENIDA TALAIOT, 1",L-D: 24H,39.8585,SANT LLUIS,4.259028,Sant Lluís,1.759,,,,1.799,,,BALEARS (ILLES),EROSKI
"CARRETERA VELLA DE SINEU PMV3011 KM. 15,5",L-D: 06:00-21:00,39.612667,SANTA EUGENIA,2.834306,Santa Eugènia,1.785,1.386,1.836,,1.836,,1.936,BALEARS (ILLES),SHELL
"CARRETERA PM-810 KM. 3,3",L-D: 06:00-22:00,38.984889,SANTA EULALIA,1.495111,Santa Eulalia del Río,1.795,,1.915,,1.859,,,BALEARS (ILLES),CEPSA
"CARRETERA PM-810 KM. 4,150",L-V: 08:00-18:00; S: 08:00-13:00,38.982667,SANTA EULALIA,1.529167,Santa Eulalia del Río,1.759,1.279,,,,,,BALEARS (ILLES),COOPERATIVA SANTA EULALIA
"CARRETERA PM-810 KM. 0,3",L-D: 07:00-23:00,38.987917,SANTA EULALIA,1.538861,Santa Eulalia del Río,1.825,,,,1.859,,2.019,BALEARS (ILLES),REPSOL
"CARRETERA IBIZA - SAN MIGUEL KM. 4,9",L: 07:00-23:45,38.991556,SANTA GERTRUDIS,1.434167,Santa Eulalia del Río,1.819,1.309,,,1.899,,2.03,BALEARS (ILLES),BP
"C-712 km 22,3",L-D: 07:00-22:00,39.763139,CA'N PICAFORT,3.15075,Santa Margalida,1.799,,1.878,,1.879,,2.018,BALEARS (ILLES),REPSOL
"CARRETERA ARTA-PTO.ALCUDIA,99,",L-S: 06:30-21:00,39.762,CA'N PICAFORT,3.152361,Santa Margalida,1.799,,1.877,,1.879,,2.019,BALEARS (ILLES),BP CA SESTRELLA
"CR STA. MARGARITA-PETRA KM  10,7",L-S: 07:00-21:00,39.701556,CA'N PICAFORT,3.10075,Santa Margalida,1.799,,1.897,,1.879,,,BALEARS (ILLES),BP MUNAR CAPO
"PLAZA HOSTALS, 4",L-D: 06:30-20:30,39.651694,SANTA MARIA DEL CAMI,2.773861,Santa María del Camí,1.809,,,,1.879,,,BALEARS (ILLES),CEPSA
"CR C-713, 13,1",L-D: 06:00-22:00,39.64825,SANTA MARIA DEL CAMI,2.757056,Santa María del Camí,1.799,,,,1.869,,2.019,BALEARS (ILLES),REPSOL
"CARRETERA C-717 KM. 53,7",L-D: 06:00-22:00,39.370778,SANTANYI,3.1475,Santanyí,1.789,,1.859,,1.839,,1.989,BALEARS (ILLES),REPSOL
"CARRER CONVENT, 29",L-S: 07:00-20:00,39.383944,SANTANYI,3.166778,Santanyí,1.849,1.529,1.939,,1.889,1.959,,BALEARS (ILLES),CEPSA
CARRETERA C-717 KM. 38,L-D: 06:00-22:30,39.426417,SANTANYI,3.024111,Santanyí,1.799,1.469,1.899,,1.819,1.869,1.979,BALEARS (ILLES),REPSOL
"AVINGUDA BENVINGUTS, 64",L-D: 07:30-21:00,39.378722,CALA D'OR,3.227056,Santanyí,1.799,,,,1.869,,,BALEARS (ILLES),REPSOL
"AVENIDA BIENVENIDOS, 36",L-D: 24H,39.379917,CALA D'OR,3.226833,Santanyí,1.819,,1.885,,1.869,1.929,2.001,BALEARS (ILLES),CEPSA
"CARRETERA SANTA MARIA-SENCELLES KM. 9,9",L-D: 06:30-21:30,39.645694,SENCELLES,2.878639,Sencelles,1.819,1.409,1.899,,1.879,,,BALEARS (ILLES),REPSOL
"CARRETERA 3301 KM. 1,5",L-D: 24H,39.641944,SINEU,3.02825,Sineu,1.785,1.449,1.859,,1.829,,1.979,BALEARS (ILLES),SHELL
"CARRETERA PM-324 KM. 11,5",L-D: 06:00-22:00,39.646083,SINEU,3.006083,Sineu,1.799,1.479,1.879,,1.839,,,BALEARS (ILLES),REPSOL
"CTRA. MA-11, 30",L-S: 06:00-22:00; D: 07:00-21:00,39.765778,SOLLER,2.708389,Sóller,1.779,,,,1.819,,1.969,BALEARS (ILLES),REPSOL
"CARRETERA MA-4040 KM. 2,5",L-V: 08:00-17:00,39.643333,SON SERVERA,3.373417,Son Servera,,,,,,,,BALEARS (ILLES),REPSOL
