direccion,horario,latitud,localidad,longitud,municipio,precio_gasoleo_a,precio_gasoleo_b,precio_gasoleo_premium,precio_gasolina_95_e10,precio_gasolina_95_e5,precio_gasolina_95_e5_premium,precio_gasolina_98_e5,provincia,rotulo
"CRTA. C-13,  (C.C. BON AREA) km 84,25",L-D: 24H,42.147252,PALAU DE NOGUERA,0.893677,Tremp,1.523,,,,1.59,,,LLEIDA,BONAREA
CARRETERA ARTESA DE SEGRE A TREMP KM. 51,L-D: 24H,42.141611,VILAMITJANA,0.930444,Tremp,1.523,,,,1.59,,,LLEIDA,BONAREA
"CALLE SAN FELIU, S/N",L-D: 08:00-20:00,42.5045,BARRUERA,0.80275,Vall de Boí (La),1.769,,,,1.819,,,LLEIDA,PETRONOR
"CARRER PAU CASALS, 2",L-D: 24H,41.7515,VALLFOGONA DE BALAGUER,0.815583,Vallfogona de Balaguer,1.621,1.301,,,1.656,,,LLEIDA,VALLFOGONINA
"CR C-148  (A), 0,8",L-D: 06:00-22:00,41.785583,VALLFOGONA DE BALAGUER,0.829917,Vallfogona de Balaguer,1.619,1.37,1.719,,1.599,,1.759,LLEIDA,CAMPSA EXPRESS
"C/ TARREGA, 4,",L-S: 09:30-21:30,41.788139,VALLFOGONA DE BALAGUER,0.82675,Vallfogona de Balaguer,1.629,,1.669,,1.659,,1.799,LLEIDA,GADCAR
CTRA. TARREGA A MONTBLACH (C-240 km 69),L-D: 24H,41.612113,VERDU,1.129455,Verdú,1.519,,,,1.587,,,LLEIDA,BONAREA
"CR N-230, 164,1",L-X: 07:00-23:00; J-S: 00:00-23:59; D: 07:00-23:00,42.711111,VIELHA,0.797083,Vielha e Mijaran,1.729,,,,1.759,,1.919,LLEIDA,REPSOL
"CR N-230, 163,7",L-D: 07:00-23:00,42.701917,VIELHA,0.793222,Vielha e Mijaran,1.729,,1.799,,1.759,,1.919,LLEIDA,REPSOL
Ctra.C-142 km s/n,L-D: 24H,42.696583,BETREN,0.805861,Vielha e Mijaran,1.709,,1.779,,1.749,,1.909,LLEIDA,PETROCAT
CARRETERA A-2 KM. 504,L-V: 06:00-22:00,41.647111,VILAGRASSA,1.103222,Vilagrassa,1.699,,1.749,,1.749,,1.869,LLEIDA,REPSOL
